,Address,Price,Beds,Baths,City,Area,Street,Description
0,2323 Confederation Pkwy 1102,430000,2,2,Mississauga,Cooksville,Confederation Pkwy,"Beautiful Bright And Spacious Condo Unit 2 Bedrooms And 2 Bathrooms With 1190 Sqft.. Perfect Location Close To School, Square One Mall . It Offers An Modern Kitchen With Upgraded Countertop, Undermount Sink , Stone Backsplash And Porcelain Tile Floor, Laminate Flooring..."
1,816 Lansdowne Ave 411,598000,1+1,1,Toronto,Dovercourt-Wallace Emerson-Junction,Lansdowne Ave,"Large Renovated One Bedroom+Den 646 Sf! Great Functional Open Layout! Balcony South View,Large Den For Work At Home Area! Modern Finishes/Decor,En-Suite Laundry. Open Concept Kitchen W/Granite Counter Tops,S/S Appliances. Great Building Amenities:Gym,Sauna..Steps To..."
2,710 Rosebank Rd,899900,0,0,Pickering,West Shore,Rosebank Rd,"Incredible Opportunity To Build Your Dream Home On 3.03 Acre Lot In Sought After Pickering West Shore. Very Tranquil & Private Surrounded By Wooded Area & Petticoat Creek Running Through The Lot. Located Just Steps Away From Public Transit, Parks & Schools. Just..."
3,219 Major Mackenzie Dr,5999999,0,0,Richmond Hill,Harding,Major Mackenzie Dr,"Attention Builders/Developers & Investors! An Incredible Opportunity To Own This 103 X 133 Ft Lot. Highly Accessible, Close To Yonge Street, Shops, Transit + Walk To The Richmond Hill Go Station. Easy Access To Hwy 404. Being Sold Under Power Of Sale As-Is. Buyer To Do..."
4,123 Woodbine Ave 315,489999,0,1,,The Beaches,Woodbine Ave,"Steps From The Beach With Parking And Storage Included - This Is A Unique Opportunity To Own In The Beaches. Use As A Pied-A-Terre, Cozy Studio Or Tiny Home And Find Your Quite Retreat At The Beach While It Lasts. All The Amenities You Need Including Laundry, Storage..."
5,535 Vaughan Rd,1026000,0,0,,Oakwood-Vaughan,Vaughan Rd,"Developers, Builders, Investors! Incredible Opportunity To Own Land In Developing Area. Zoned For Duplex Or Build Single-Fam/Semi's. Buy & Hold For Future Development. Build Duplex & Invest 4.8% Cap. Pot Inc 90K Exp 12K. No House To Demolish. Short Walk To Eglinton W..."
6,109 Lake St,750000,4,2,St. Catharines,,,"Investors!! Maintenance-Free Solid 4 Plex-Fully Renovated * 1 Commercial Storefront * 1 X 2 Bedroom Unit & 2X 1 Bdrm Units * Gross Annual Income $67,800,Amazing Cash Flow Downtown Area * New Vinyl Waterproof Flooring * All S/Steel Appliances With Extended 3 Years..."
7,321 Queenston Rd,1899000,4,4,Niagara-on-the-Lake,,,"Welcome To 321 Queenston Rd, Overlooking Vineyards And Local Golf Courses. Smart Home - Control Lights, Thermostat, Garage, Solar Powered Security Cameras And Hot Tub All From Your Phone. Features 3 Master Bedrooms Plus One Bedroom On The Second Floor. Roughed-In..."
8,650 Upper Sherman Ave,899000,3+1,2,Hamilton,Burkholme,Upper Sherman Ave,"Absolutely Fantastic Opportunity !!! Detach House With 60 By 100 Feet Lot !!! Close To Juravinski Hospital And Macassa Nursing Home!!!  Live In The City And Enjoy Beautiful Landscape In A Huge Lot With A Porch >>> Separate Entrance, 3+1 Bedrooms Plus Two Den, Two..."
9,2419 Postmaster Dr,1129900,3+1,4,Oakville,West Oak Trails,Postmaster Dr,"Stunning 3+1 Bed, 4 Bath End Unit Townhome In Desirable West Oak Trails. 2,000+ Sq Ft Of Functional Living Space W/ Upstairs Office. 1 Garage + 2 Add'l Parking. Surrounded By Trails, Parks & Walking Distance To Schools & Hospital. Prof Finished Basement W/ 3Pc Bath..."
10,3 Waterwide Cres,1699913,4+2,4,Brampton,Credit Valley,Waterwide Cres,Top 5 Reasons To Love This House 1) Luxurious Detach 4 +2 Bedroom  & Finished Basement Apartment In The Prestigious Credit Valley Area (2) Deep 135 Ft  Lot With Salt Water Pool At Back & Rare To Find In Whole Credit Valley Such Deep  Lot Also Client Spent Around...
11,75 Emms Dr,1268000,4+1,4,Barrie,Holly,Emms Dr,"Stunning Home Located In One Of Barrie's Hottest Street! 4+1 Bedrooms With W/O Basement; Large Ravine Lot 59.08 X 138.47 Feet Backing On To Ardagh Bluffs; New Engineering Hardwood Floor; New Lights, New Renovated Kitchen, New Paint, Roof (2014), Large Kitchen Open..."
12,198 Bathurst Glen Dr,1899000,4+1,5,Vaughan,Patterson,Bathurst Glen Dr,"What A View, What A Life Style! Stunning Executive Home@One Of The Best Streets In Thornhill Woods!High Demand Layout* Approx 3,600 Sq/Ft+Professionally Fin Basement.Spending Over 150K Renovated. Smart Control And Energy Saving Home.Upgrades 6""High Quality Engineering..."
13,37 Mazarine Lane,1188000,3,3,,Westbrook,Mazarine Lane,"Amazing 3 Bedroom Townhouse With Luxurious Stone Front, Double French Door. 1900Sqft As Per Floor Plan. Newer Renovation. Hardwood Floor & Modern Light Fixtures, Fresh Paint. Upgraded Kitchen Features Granite Counter, Stainless Steel Appliances, Backsplash & Breakfast..."
14,24 Morbank Dr,1388800,4+3,5,,Steeles,Morbank Dr,"This Is The One You May Waited For, A Chevatti Italian-Built Home On A Premium Corner Lot In A Great Community, A High-Quality Renovation Throughout The House, Separate Entrance To Bsmnt Brings Endless Possibilities For Large Families, Investors. Close To Top Ranking..."
