,Unnamed: 0,Address,Price,Beds,Baths
0,0,2323 Confederation Pkwy 1102,430000,2,2
1,1,816 Lansdowne Ave 411,598000,1+1,1
2,2,3878 Highway 35,529900,4+2,3
3,3,710 Rosebank Rd,899900,0,0
4,4,219 Major Mackenzie Dr,5999999,0,0
5,5,123 Woodbine Ave 315,489999,0,1
6,6,535 Vaughan Rd,1026000,0,0
7,7,288 Schooley Rd,698888,3,2
8,8,440 Bonny Meadow Rd,2249000,4+1,4
9,9,2096 Mayflower Blvd,1799900,4+2,4
10,10,89 Walkem Dr,1099900,3+1,3
11,11,80 Sprucewood Dr,3488000,4+3,4
12,12,27 Tamara Dr,1699000,5+2,4
13,13,31 Sesame St,1399900,4+4,4
14,14,31 Sesame St,1399900,4+4,4
15,15,2208 Chevron Prince Path Path,799900,4,3
16,16,102 Harlandale Ave,3498000,4+1,6
17,17,17 Baroness Cres,1388000,3+3,3
18,18,19 Bobwhite Cres,2490000,5,5
19,19,400 Webb Dr 1107,668800,2+1,2
20,20,251 Manitoba St 623,675000,1+1,1
21,21,1230 Marlborough Crt 709,649900,1,1
22,22,190 Borough Dr 710,659000,2+1,2
23,23,70 Forest Manor Rd 1701,599990,1+1,1
24,24,111 Elizabeth St 1802,749000,1+1,2
25,25,70 Temperance St 3704,499000,0,1
26,26,44 Firelane 11A Rd,1680000,3,2
27,27,35 Jessica Dr,699000,3,2
28,28,1112 Edinburgh Dr,1099999,4,6
29,29,3619 Campden Rd,1299000,3,2
30,30,28 Hands Dr,1399900,3,3
31,31,181 Sanford Ave,929900,5+2,3
32,32,57 Brucedale Ave,599900,2,1
33,33,304 Amberwood Dr,1399000,4+1,4
34,34,184 Wills Cres,1199000,4,3
35,35,602 Hammond St,1190000,4,4
36,36,116 Elbern Markell Dr,2399913,4,4
37,37,145 Wolfdale Ave,3400000,4,4
38,38,403 Van Kirk Dr,1799900,4+1,4
39,39,66 Treeline Blvd,1699000,4+2,3
40,40,35 Stonemount Tr,1799900,4+2,5
41,41,48 Newbury Cres,1699000,5+3,5
42,42,35 Harriet St,1049900,3,3
43,43,49 Geranium Cres,1599999,5+1,6
44,44,417 Tailfeather Cres,1389900,3+2,4
45,45,47 Montjoy Cres,999000,4,4
46,46,390 Remembrance Rd,1999999,4+2,5
47,47,222 Walnut Cres,899900,3+2,2
48,48,46 Wesley Ave,829900,4,3
49,49,231 Shorecrest Rd,899000,3,2
50,50,418 Via Campanile,1299000,4+2,4
51,51,90 Knight St,920000,4,4
52,52,15 Saint Nicholas Cres,1498000,4,3
53,53,57 Carl Cres,1280000,4+2,5
54,54,1978 Faylee Cres,949996,3+1,3
55,55,14 Rushlands Cres,999900,3,3
56,56,4 Sargeant Ave,1099999,3+1,3
57,57,7 Barrymore Rd,1088800,4+2,2
58,58,2093 Fairview St,499900,1+1,1
59,59,1625 Bloor St 1216,549000,2+1,2
60,60,4699 Glen Erin Dr 710,799888,2+1,2
61,61,17 Zorra St 709,519800,1,1
62,62,200 Veterans Dr #142,699900,3,2
63,63,2 Toronto St 611,899900,2,2
64,64,26 Linda Way,968000,3,4
65,65,2916 Highway 7 Rd,748000,2,2
66,66,28 Active Rd,1490000,4+1,5
67,67,8763 Bayview Ave 711,690000,1+1,2
68,68,1600 Charles St 710,449000,1,1
69,69,100 Wingarden Crt 304,490000,2,2
70,70,100 Wingarden Crt 1413,480000,2,2
71,71,115 Blue Jays Way 3202,998000,3,2
72,72,701 Sheppard Ave 622,949000,2,2
73,73,21 Grand Magazine St 719,699999,1+1,1
74,74,2 Church St #2301,656535,1+1,1
75,75,60 Berwick Ave 701,599000,1,1
76,76,385 Great Falls Blvd,1199000,4,3
77,77,290 Powell Rd,1249000,4+2,5
78,78,94 Regency Dr,949000,3,2
79,79,37 Chaplin Ave,1299000,6+2,3
80,80,91 Hands Dr,1099000,5,4
81,81,16 Randy Ave,1150000,4,1
82,82,238 Tower Rd,274995,0,0
83,83,5785 Spring St,649900,3,2
84,84,7 Clover Circ,1799950,4,3
85,85,6 Evangelista Crt,1295000,3+1,4
86,86,34 Dalewood Cres,899900,7,2
87,87,15 Haddon Ave,799900,6,3
88,88,155 9th St,549900,3,2
89,89,3167 Shannonville Rd,189900,0,0
90,90,152 Cavan St,569000,3,2
91,91,39 Olivia St,999999,3,3
92,92,11 Geneva Dr,875000,3,2
93,93,61 Talbot St,359900,4,2
94,94,106 Clark St,799999,3,3
95,95,120 Westchester Ave,509900,3,1
96,96,419 Brown St,749900,3+2,1
97,97,30 Rapids Lane,849900,4,3
98,98,92 Fairview Ave,799900,3+1,3
99,99,1175 Haldibrook Rd,4900000,4,3
100,100,199 Green Vista Dr,999900,4,4
101,101,592 Lambton St,539000,3,2
102,102,69 Cait Crt,2198000,3+1,2
103,103,202 Mactay Dr,1200000,4+1,3
104,104,80 Saddlebrook Crt,999900,4,3
105,105,161 Highland Rd,1049000,3+1,4
106,106,1 Brown Rd,299900,3+1,2
107,107,690 Zermatt Dr,699900,3,3
108,108,78 Youngman Dr,950000,4+2,3
109,109,6045 Ernest Cres,899900,3,4
110,110,21 Lions Park Ave,1250000,3+1,4
111,111,14 Sherbourne St,899000,3,4
112,112,35 Bannister Cres,1199000,3,3
113,113,669 Cumberland Ave,995000,3+2,2
114,114,26 Enclave Tr,1099000,4,3
115,115,99 Harvest Moon Dr,1100000,3,3
116,116,150 Voltarie Cres,999000,3+2,2
117,117,66 Ludstone Dr,1100000,3,3
118,118,1196 Stanley Dr,999000,3,1
119,119,24 Rothsay Ave,1398000,2+2,2
120,120,17583 Humber Station Rd,2699000,2+2,3
121,121,411 Veterans Dr,1349900,3,4
122,122,643 Lomond Cres,789900,3,2
123,123,75 Elder Ave 51,1199000,3,2
124,124,31 Pendulum Circ,1199900,4,4
125,125,37 Spotted Owl Cres,1599900,4+2,5
126,126,705 Ferguson Dr,1249000,3+1,4
127,127,107 Meadow Dr,899900,4,3
128,128,45 Nevillle Cres,1249900,4,3
129,129,438 Maple Ave,3499500,4+1,5
130,130,1145 Treetop Terr,1149000,3+1,4
131,131,5 Blackberry Valley Cres,1299000,3,3
132,132,5 Darlington Cres,999999,3,2
133,133,143 Arleta Ave,890000,3,2
134,134,30 Meadowlark Dr,1199000,3+2,4
135,135,1553 Waterdown Rd,1299900,5,2
136,136,441 Wedgewood Dr,4150000,4+1,5
137,137,2340 Britannia Rd,1695000,3+1,3
138,138,73 Sparta Dr,1599000,4+2,4
139,139,4 Myrtle Crt,949900,3,3
140,140,44 Jordensen Dr,1199999,4,4
141,141,27 Redfinch Way,1079000,3+1,3
142,142,19 Mayfair Cres,999000,3,2
143,143,53 Cavendish Cres,1099900,3+2,3
144,144,342 Wisteria Way,1688000,4,3
145,145,81 Princess St,799900,2+2,2
146,146,2455 Belt Lane 6,950000,3,3
147,147,7375 Sills Rd,1199999,4+1,3
148,148,2009 Delaney Dr,1550000,4,3
149,149,5712 Old School Rd,2699000,5,3
150,150,1469 Broadmoor Ave,4399000,5,4
151,151,12 Perdita Rd,1395000,3+1,5
152,152,12 Valleypark Cres,1250000,6,4
153,153,78 Wildberry Cres,1199999,3+1,4
154,154,5183 Severn Pines Cres,699900,2,1
155,155,288 Steeles Line,2799000,4,3
156,156,273 Franklin St,614900,3+3,2
157,157,2 Middleport Dr,749900,2+1,3
158,158,125 Second Ave,1849000,4,4
159,159,297 Dalhousie St,845000,2+1,2
160,160,68 Oakridge Crt,749900,3,3
161,161,46 Starr Cres,1349000,4,3
162,162,44 Bawden Dr,1290000,3,4
163,163,13 Seguin St,1258000,3,4
164,164,11 Royal Oak Rd,1199000,4,4
165,165,62 Kalmar Cres,1199000,4,4
166,166,5 Amos Crt,1480000,4,3
167,167,252 Church St,2750000,4+2,7
168,168,227 Zokol Dr,1299000,4,4
169,169,9 Ray St,998000,3+2,4
170,170,4 Theobalds Circ,1950000,4+1,4
171,171,213 Douglas Rd,1680000,3+2,3
172,172,62 Rosario Dr,1198000,3,4
173,173,12 Queensborough Crt,1980000,4,3
174,174,228 Vivant St,899000,2+1,3
175,175,662 Duclos Point Rd,1999000,3+2,3
176,176,122 Viscount Dr,1388000,4,3
177,177,70 Douglas Rd,1999000,2,2
178,178,16 Haida Dr,899000,3,2
179,179,55 New Yorkton Ave,1388900,3+2,4
180,180,15 Houndtrail Dr,1299999,4+1,4
181,181,174 Wheeler Ave,1580000,3,3
182,182,104 Duke St,699000,2,1
183,183,7 Clinton Crt,899900,4,3
184,184,256 Pimlico Dr,1299900,4+3,5
185,185,282 Queensdale Ave,1199000,3+1,3
186,186,3 Weldon St,1199999,4,4
187,187,180 Drayton Ave,1318000,3,2
188,188,318 Rouge Highlands Dr,1150000,3+1,2
189,189,1315 Gull Crossing,1050000,4,4
190,190,12 Thackery Dr,998999,4,3
191,191,1011 Southport Dr,799000,3+1,4
192,192,61 Rubic Cres,1188800,4+2,5
193,193,3786 Lawrence Ave,1148000,3+3,2
194,194,151 Underwood Dr,1149000,4,3
195,195,44 Canongate Tr,1725000,4+3,5
196,196,809 Wolfberry Crt,749000,3,2
197,197,37 Keenlyside Lane,799990,3+1,4
198,198,1940 Brock Conc Rd 1 Rd,2499000,3,3
199,199,78 Sidney Rundle Ave,799990,4,3
200,200,85 Magpie Way,699900,3+1,4
201,201,19 Mcroberts Cres,1199000,4+1,4
202,202,378 Port Royal Tr,1499000,4+1,4
203,203,708 Carnegie Ave,699900,3+2,2
204,204,70 Taunton Rd,1680000,6,6
205,205,6 Wanstead Ave,1299000,2+2,2
206,206,91 Snowball Cres,999999,4+1,2
207,207,186 Bellamy Rd,849900,3,3
208,208,435 Wilson Rd,599000,3+1,2
