,index,Price,Beds,Baths,Address,Postal_Code,City,Latitude,Longitude,Cluster
0,0,430000,2,2,2323 Confederation Pkwy 1102,L5B 1N1,Mississauga,43.5771,-79.6306,1
1,1,598000,2,1,816 Lansdowne Ave 411,M6H 3Z6,Toronto,43.6655,-79.4378,2
2,2,750000,4,2,109 Lake St,L2R 5Y5,St. Catharines ,43.1419,-79.2966,2
3,3,1899000,4,4,321 Queenston Rd,L8K 3P3,Hamilton,43.2211,-79.7994,1
4,4,899000,4,2,650 Upper Sherman Ave,L8V 3M7,Hamilton,43.2266,-79.8499,1
5,5,1129900,4,4,2419 Postmaster Dr,L6M 0G5,Oakville,43.4464,-79.7593,1
6,6,1699913,6,4,3 Waterwide Cres,L6X 0B3,Brampton,43.6665,-79.8054,3
7,7,1268000,5,4,75 Emms Dr,L4N 9N7,Barrie,44.3572,-79.6929,3
8,9,1188000,3,3,37 Mazarine Lane,L4S 0E9,Richmond Hill ,43.8985,-79.4143,2
9,10,1388800,7,5,24 Morbank Dr,M1W 3A4,Scarborough,43.8016,-79.3216,0
10,11,895000,4,3,4230 Fieldgate Dr 22,L4W 2B9,Mississauga,43.6413,-79.6296,1
11,12,628000,2,1,650 Sheppard Ave 614,L1V 1G2,Pickering,43.8605,-79.1618,2
12,13,999000,5,3,2437 Ploughshare Crt,L5M 4Z5,Mississauga,43.5637,-79.7202,1
13,14,2499000,5,5,36 Turtle Path,L0K 1B0,Lake Simcoe ,44.6233,-79.1235,1
14,15,1299000,4,4,1810 Castlemore Ave,L6E 1M1,Markham,43.9002,-79.2676,1
15,16,2699999,7,6,22 Horfield Ave,M1M 1X5,Scarborough,43.7247,-79.2312,0
16,17,735000,2,2,310 Burnhamthorpe Rd 1709,M9B 1Z9,Etobicoke,43.6505,-79.5517,3
17,18,950000,2,2,386 Yonge St 2703,K7M 2R2,Kingston,44.2411,-76.5788,1
18,20,1749000,3,2,10 Old York Mills Rd 701,M2P 2E3,North York ,43.75,-79.3978,1
19,21,599900,2,1,20 Forest Manor Rd 305,M2J 1M4,North York ,43.7801,-79.3479,1
20,23,999000,6,3,2 Gloucester Crt,N2B 3N1,Kitchener,43.4646,-80.4467,1
21,24,999000,3,3,10 Cahill Dr,K1V 8S1,Ottawa,45.3281,-75.6719,1
22,25,999900,2,1,24 Victoria Ave,L8E 5C5,Hamilton,43.2245,-79.6988,1
23,26,899000,4,4,98 Keating St,N1E 7E7,Guelph,43.5677,-80.2418,3
24,27,599888,3,3,8 Harvey St,L8L 5V7,Hamilton,43.2783,-79.8344,1
25,28,470000,3,2,472 Sherbrooke St,K9J 3N9,Peterborough,44.3104,-78.2396,1
26,29,1199000,7,3,5 Foster Rd,L4T 4J3,Mississauga,43.7139,-79.6434,1
27,31,1199000,4,3,2151 Kipling Ave,M9W 4K7,Etobicoke,43.7144,-79.5909,3
28,32,1379000,6,4,36 Lanyard Rd,M9M 2A8,North York ,43.7366,-79.5401,1
29,34,2799999,4,4,12629 Second Line,K9J 6X8,Peterborough,44.3104,-78.2396,0
30,35,2749000,5,5,35 Royalavon Cres,M9A 1C2,Etobicoke,43.6662,-79.5282,3
31,38,2500000,6,6,2 Louisburg Cres,L6X 2Z9,Brampton,43.6665,-79.8054,3
32,39,1199900,4,3,477 Downes Jackson Hts,L9E 0K7,Halton,43.5168,-79.8829,1
33,40,896913,7,3,66 Histon Cres,L6V 3V9,Brampton,43.7059,-79.7626,3
34,41,999000,4,3,152 Owen St,L4M 3H7,Barrie,44.4001,-79.6663,3
35,42,1988000,4,4,232 Conklin Cres,N3R 1H9,Brant,43.1692,-80.2684,3
36,43,3198888,5,5,99 Birch Ave,M4V 1E3,Toronto,43.6861,-79.4025,0
37,44,1649000,3,2,110 Avenue Rd,M5R 3J8,Toronto,43.6736,-79.4035,2
38,45,6480000,8,9,67 Cachet Pkwy,L6C 2T2,Markham,43.9045,-79.3392,0
39,46,999999,4,4,1908 Bur Oak Ave,L6E 1X1,Markham,43.9002,-79.2676,1
40,47,999900,5,4,162 Ted Miller Cres,L1C 6B5,Bowmanville,43.9714,-78.7095,3
41,48,999000,4,2,5 Kecala Rd,M1P 1M2,Scarborough,43.7612,-79.2707,2
42,49,1199000,7,5,895 Sproule Cres,L1K 1M2,Oshawa,43.9251,-78.8287,0
43,50,1000000,5,4,39 Oceanpearl Cres,L1N 8M4,Whitby,43.8721,-78.9273,0
44,51,849900,3,2,61 Tams Dr,L1Z 0C7,Ajax,43.8773,-79.0055,3
45,52,1580000,5,2,465 Cummer Ave,M2M 3M6,Willowdale,43.7915,-79.4103,2
46,53,999000,5,3,287 Codsell Ave,M3H 5R2,North York ,43.7535,-79.4472,1
47,54,750000,3,2,575 Woodward Ave,L8H 6R7,Hamilton,43.2596,-79.7925,1
48,55,599900,2,2,778 Laurelwood Dr 501,N2V 2V3,Waterloo,43.4764,-80.5842,2
49,56,609900,2,1,1135 Royal York Rd #205,M8X 2A3,Etobicoke,43.6518,-79.5076,3
50,57,898888,3,2,223 Webb Dr 2706,L5B 1T8,Mississauga,43.5771,-79.6306,1
51,58,499999,1,1,5240 Dundas St 607,L7L 0G2,Burlington,43.3799,-79.7668,3
52,59,879000,3,2,200 Manitoba St 118,M8Y 4H5,Etobicoke,43.6325,-79.4939,3
