,Unnamed: 0,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below,monthly_change,monthly_change_per,days_on_mar
0,0,barrie,2021,December,172,627425.0,700812.0,11.69,23633.0,3.48,7
1,1,barrie,2021,November,216,607062.0,677179.0,11.55,39617.0,6.21,8
2,2,barrie,2021,October,261,597809.0,637562.0,6.64,5837.0,0.92,8
3,3,barrie,2021,September,270,593675.0,631725.0,6.4,21725.0,3.56,10
4,4,barrie,2021,August,224,577925.0,610000.0,5.55,4375.0,0.72,12
5,5,barrie,2021,July,267,577412.0,605625.0,4.88,11125.0,1.87,10
6,6,barrie,2021,June,316,568836.0,594500.0,4.51,1138.0,0.19,7
7,7,barrie,2021,May,411,562587.0,593362.0,5.47,8750.0,1.49,8
8,8,barrie,2021,April,420,548162.0,584612.0,6.64,10862.0,1.89,8
9,9,barrie,2021,March,554,522312.0,573750.0,9.84,3525.0,0.61,7
10,10,barrie,2021,February,391,515724.0,570225.0,10.56,11288.0,2.01,6
11,11,barrie,2021,January,182,517312.0,558937.0,8.04,34562.0,6.59,13
12,12,barrie,2020,December,194,500423.0,524375.0,4.78,21625.0,4.3,11
13,13,barrie,2020,November,278,485925.0,502750.0,3.46,21213.0,4.4,14
14,14,barrie,2020,October,333,473562.0,481537.0,1.68,5300.0,1.11,14
15,15,barrie,2020,September,323,470687.0,476237.0,1.17,138.0,-0.02,15
16,16,barrie,2020,August,329,468450.0,476375.0,1.69,20750.0,4.55,13
17,17,barrie,2020,July,395,452299.0,455625.0,0.73,2525.0,0.55,13
18,18,barrie,2020,June,321,451687.0,453100.0,0.31,26113.0,6.11,14
19,19,barrie,2020,May,198,430675.0,426987.0,-0.85,14388.0,-3.25,23
20,20,barrie,2020,April,95,449537.0,441375.0,-1.81,4000.0,0.91,18
21,21,barrie,2020,March,235,441562.0,437375.0,-0.94,5025.0,1.16,12
22,22,barrie,2020,February,230,435649.0,432350.0,-0.75,11025.0,-2.48,13
23,23,barrie,2020,January,139,449875.0,443375.0,-1.44,34513.0,8.44,24
24,24,barrie,2019,December,118,411162.0,408862.0,-0.55,14187.0,3.59,21
25,25,barrie,2019,November,180,400837.0,394675.0,-1.53,17950.0,-4.35,30
26,26,barrie,2019,October,233,420975.0,412625.0,-1.98,6600.0,-1.57,21
27,27,barrie,2019,September,202,427812.0,419225.0,-2.0,8378.0,2.03,21
28,28,barrie,2019,August,200,421212.0,410847.0,-2.46,1182.0,0.28,25
29,29,barrie,2019,July,212,419762.0,409665.0,-2.4,11165.0,2.8,20
30,30,barrie,2019,June,203,407150.0,398500.0,-2.12,1875.0,0.47,18
31,31,barrie,2019,May,249,405134.0,396625.0,-2.1,24162.0,-5.74,22
32,32,barrie,2019,April,206,425812.0,420787.0,-1.18,19162.0,4.77,19
33,33,barrie,2019,March,182,407350.0,401625.0,-1.4,21278.0,5.59,19
34,34,barrie,2019,February,114,386547.0,380347.0,-1.6,15715.0,-3.96,19
35,35,barrie,2019,January,95,402175.0,396062.0,-1.51,6312.0,1.61,30
36,36,barrie,2018,December,96,400250.0,389750.0,-2.62,15625.0,4.17,29
37,37,barrie,2018,November,160,382050.0,374125.0,-2.07,5500.0,1.49,33
38,38,barrie,2018,October,187,379825.0,368625.0,-2.94,7750.0,-2.05,29
39,39,barrie,2018,September,168,385025.0,376375.0,-2.24,3625.0,-0.95,32
40,40,barrie,2018,August,190,391800.0,380000.0,-3.01,675.0,-0.17,36
41,41,barrie,2018,July,169,389562.0,380675.0,-2.28,15575.0,-3.93,26
42,42,barrie,2018,June,244,403037.0,396250.0,-1.68,8775.0,2.26,21
43,43,barrie,2018,May,164,397425.0,387475.0,-2.5,3725.0,0.97,20
44,44,barrie,2018,April,177,390950.0,383750.0,-1.84,17400.0,-4.33,24
45,45,barrie,2018,March,150,406062.0,401150.0,-1.2,18975.0,4.96,18
46,46,barrie,2018,February,129,387812.0,382175.0,-1.45,81550.0,27.12,21
47,47,barrie,2018,January,94,310562.0,300625.0,-3.19,74750.0,-19.91,27
48,48,barrie,2017,December,111,389137.0,375375.0,-3.53,17750.0,-4.51,35
49,49,barrie,2017,November,206,401150.0,393125.0,-2.0,22900.0,6.18,26
50,50,barrie,2017,October,212,378525.0,370225.0,-2.19,17225.0,4.87,26
51,51,barrie,2017,September,163,361062.0,353000.0,-2.23,15600.0,-4.23,26
52,52,barrie,2017,August,183,380575.0,368600.0,-3.14,100.0,0.02,25
53,53,barrie,2017,July,156,374450.0,368500.0,-1.58,15375.0,4.35,19
54,54,barrie,2017,June,223,362200.0,353125.0,-2.5,30112.0,-7.85,19
55,55,barrie,2017,May,344,373337.0,383237.0,2.65,32388.0,-7.79,11
56,56,barrie,2017,April,334,391175.0,415625.0,6.25,1500.0,0.36,7
57,57,barrie,2017,March,312,386775.0,414125.0,7.07,22125.0,5.64,9
58,58,barrie,2017,February,203,359625.0,392000.0,9.0,80625.0,-17.05,10
59,59,barrie,2017,January,97,463912.0,472625.0,1.87,60750.0,14.74,27
60,60,barrie,2016,December,106,415825.0,411875.0,-0.94,69888.0,20.43,23
61,61,barrie,2016,November,186,336425.0,341987.0,1.65,33263.0,-8.86,16
62,62,barrie,2016,October,166,369875.0,375250.0,1.45,56463.0,17.71,13
63,63,barrie,2016,September,172,314175.0,318787.0,1.46,22569.0,-6.61,13
64,64,barrie,2016,August,224,336912.0,341356.0,1.31,12381.0,3.76,11
65,65,barrie,2016,July,154,326175.0,328975.0,0.85,12663.0,4.0,13
66,66,barrie,2016,June,233,316300.0,316312.0,0.0,9200.0,2.99,13
67,67,barrie,2016,May,245,305862.0,307112.0,0.4,2612.0,0.85,11
68,68,barrie,2016,April,249,306775.0,304500.0,-0.74,1388.0,0.45,17
