,NOC_CNP,NOC_Title,Titre_CNP,PROV,ER_Code_Code_RE,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Wage_Comment_E,Wage_Comment_F
37,NOC_0011,Legislators,Membres des corps législatifs,ON,ER35,Ontario,30296.0,70271.0,147964.0,2016 Census,Recensement 2016,2016,11/17/2021,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
38,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3510,Ottawa,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
39,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3515,Kingston--Pembroke,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
40,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3520,Muskoka--Kawarthas,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
41,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3530,Toronto,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
42,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3540,Kitchener--Waterloo--Barrie,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
43,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3550,Hamilton--Niagara Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
44,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3560,London,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
45,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3570,Windsor--Sarnia,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
46,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3580,Stratford--Bruce Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
47,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3590,Northeast,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
48,NOC_0011,Legislators,Membres des corps législatifs,ON,ER3595,Northwest,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
123,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER35,Ontario,88835.88,264933.31,558705.62,Canadian Institute for Health Information and Canadian Medical Association - custom tabulation,Institut canadien de l’information sur la santé et Association médicale canadienne - tabulation spéciale,2019-2020,11/17/2021,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
124,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3510,Ottawa,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
125,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3515,Kingston--Pembroke,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
126,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3520,Muskoka--Kawarthas,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
127,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3530,Toronto,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
128,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3540,Kitchener--Waterloo--Barrie,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
129,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3550,Hamilton--Niagara Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
130,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3560,London,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
131,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3570,Windsor--Sarnia,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
132,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3580,Stratford--Bruce Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
133,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3590,Northeast,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
134,NOC_3111,Specialist physicians,Médecins spécialistes,ON,ER3595,Northwest,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
209,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER35,Ontario,83017.43,228361.56,421183.68,Canadian Institute for Health Information and Canadian Medical Association - custom tabulation,Institut canadien de l’information sur la santé et Association médicale canadienne - tabulation spéciale,2019-2020,11/17/2021,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
210,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3510,Ottawa,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
211,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3515,Kingston--Pembroke,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
212,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3520,Muskoka--Kawarthas,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
213,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3530,Toronto,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
214,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3540,Kitchener--Waterloo--Barrie,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
215,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3550,Hamilton--Niagara Peninsula,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
216,NOC_3112,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,ON,ER3560,London,,,,,,,11/17/2021,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
