,Price,Beds,Baths,Postal_Code,City,Latitude,Longitude,Cluster
0,430000,2,2,L5B 1N1,Mississauga,43.5771,-79.6306,1
1,598000,2,1,M6H 3Z6,Toronto,43.6655,-79.4378,2
2,750000,4,2,L2R 5Y5,St. Catharines ,43.1419,-79.2966,2
3,1899000,4,4,L8K 3P3,Hamilton,43.2211,-79.7994,1
4,899000,4,2,L8V 3M7,Hamilton,43.2266,-79.8499,1
5,1129900,4,4,L6M 0G5,Oakville,43.4464,-79.7593,1
6,1699913,6,4,L6X 0B3,Brampton,43.6665,-79.8054,3
7,1268000,5,4,L4N 9N7,Barrie,44.3572,-79.6929,3
9,1188000,3,3,L4S 0E9,Richmond Hill ,43.8985,-79.4143,0
10,1388800,7,5,M1W 3A4,Scarborough,43.8016,-79.3216,1
11,895000,4,3,L4W 2B9,Mississauga,43.6413,-79.6296,2
12,628000,2,1,L1V 1G2,Pickering,43.8605,-79.1618,1
13,999000,5,3,L5M 4Z5,Mississauga,43.5637,-79.7202,1
14,2499000,5,5,L0K 1B0,Lake Simcoe ,44.6233,-79.1235,1
15,1299000,4,4,L6E 1M1,Markham,43.9002,-79.2676,0
16,2699999,7,6,M1M 1X5,Scarborough,43.7247,-79.2312,3
17,735000,2,2,M9B 1Z9,Etobicoke,43.6505,-79.5517,1
18,950000,2,2,K7M 2R2,Kingston,44.2411,-76.5788,1
20,1749000,3,2,M2P 2E3,North York ,43.75,-79.3978,1
21,599900,2,1,M2J 1M4,North York ,43.7801,-79.3479,1
23,999000,6,3,N2B 3N1,Kitchener,43.4646,-80.4467,3
24,999000,3,3,K1V 8S1,Ottawa,45.3281,-75.6719,1
25,999900,2,1,L8E 5C5,Hamilton,43.2245,-79.6988,1
26,899000,4,4,N1E 7E7,Guelph,43.5677,-80.2418,1
27,599888,3,3,L8L 5V7,Hamilton,43.2783,-79.8344,3
28,470000,3,2,K9J 3N9,Peterborough,44.3104,-78.2396,1
29,1199000,7,3,L4T 4J3,Mississauga,43.7139,-79.6434,0
31,1199000,4,3,M9W 4K7,Etobicoke,43.7144,-79.5909,3
32,1379000,6,4,M9M 2A8,North York ,43.7366,-79.5401,1
34,2799999,4,4,K9J 6X8,Peterborough,44.3104,-78.2396,3
35,2749000,5,5,M9A 1C2,Etobicoke,43.6662,-79.5282,3
38,2500000,6,6,L6X 2Z9,Brampton,43.6665,-79.8054,0
39,1199900,4,3,L9E 0K7,Halton,43.5168,-79.8829,1
40,896913,7,3,L6V 3V9,Brampton,43.7059,-79.7626,3
41,999000,4,3,L4M 3H7,Barrie,44.4001,-79.6663,2
42,1988000,4,4,N3R 1H9,Brant,43.1692,-80.2684,0
43,3198888,5,5,M4V 1E3,Toronto,43.6861,-79.4025,0
44,1649000,3,2,M5R 3J8,Toronto,43.6736,-79.4035,3
45,6480000,8,9,L6C 2T2,Markham,43.9045,-79.3392,2
46,999999,4,4,L6E 1X1,Markham,43.9002,-79.2676,1
47,999900,5,4,L1C 6B5,Bowmanville,43.9714,-78.7095,1
48,999000,4,2,M1P 1M2,Scarborough,43.7612,-79.2707,2
49,1199000,7,5,L1K 1M2,Oshawa,43.9251,-78.8287,3
50,1000000,5,4,L1N 8M4,Whitby,43.8721,-78.9273,1
51,849900,3,2,L1Z 0C7,Ajax,43.8773,-79.0055,3
52,1580000,5,2,M2M 3M6,Willowdale,43.7915,-79.4103,3
53,999000,5,3,M3H 5R2,North York ,43.7535,-79.4472,2
54,750000,3,2,L8H 6R7,Hamilton,43.2596,-79.7925,1
55,599900,2,2,N2V 2V3,Waterloo,43.4764,-80.5842,2
56,609900,2,1,M8X 2A3,Etobicoke,43.6518,-79.5076,2
57,898888,3,2,L5B 1T8,Mississauga,43.5771,-79.6306,2
58,499999,1,1,L7L 0G2,Burlington,43.3799,-79.7668,2
59,879000,3,2,M8Y 4H5,Etobicoke,43.6325,-79.4939,2
60,758000,2,1,M6K 1E6,Toronto,43.6383,-79.4301,2
61,960000,3,2,L3R 2B3,Markham,43.8479,-79.3288,2
64,599000,2,1,L4C 0W7,Richmond Hill ,43.8669,-79.4414,1
65,448888,1,1,M1P 4N7,Scarborough,43.7612,-79.2707,1
66,579900,1,1,L1V 2W8,Pickering,43.8605,-79.1618,1
67,799900,3,3,L1X 2S9,Pickering,43.8558,-79.0972,3
69,748880,2,2,M6C 1A6,York,43.6915,-79.4307,3
70,625000,2,1,M4Y 2J4,Toronto,43.6656,-79.383,1
71,1550000,3,3,M5R 2X3,Toronto,43.6736,-79.4035,3
72,709000,3,2,M5V 4A7,Toronto,43.6404,-79.3995,3
73,899900,3,3,L4Y 3B7,Mississauga,43.6028,-79.5929,1
75,3889000,4,4,L8E 0J7,Hamilton,43.2245,-79.6988,1
77,1199000,3,3,L9E 1H9,Halton,43.5168,-79.8829,3
78,999000,5,2,K7L 5T9,Kingston,44.2955,-76.428,3
79,869900,4,3,L6S 4B7,Brampton,43.7379,-79.726,1
81,899900,5,3,L6T 2N8,Brampton,43.7196,-79.6854,2
82,1299900,4,3,L6V 4T3,Brampton,43.7059,-79.7626,0
83,1790000,4,2,L5G 3H6,Mississauga,43.5647,-79.5852,0
84,1699000,7,5,L6Z 3M1,Brampton,43.7328,-79.7953,2
86,1499000,6,4,L6Z 4N8,Brampton,43.7328,-79.7953,3
87,999900,6,3,L4T 1X3,Mississauga,43.7139,-79.6434,0
88,2175000,3,3,L4C 4A1,Richmond Hill ,43.8669,-79.4414,1
89,2300000,5,4,L6J 7J8,Oakville,43.4757,-79.6591,3
90,899000,4,2,P6B 3A5,Sault Ste. ,46.5307,-84.3046,0
91,999999,4,3,L4M 6Z4,Barrie,44.4001,-79.6663,1
92,1149000,5,5,L4N 9M9,Barrie,44.3572,-79.6929,1
93,1100000,3,3,N2E 1B4,Kitchener,43.4106,-80.5011,1
97,1199888,3,4,L4H 0Z4,Woodbridge,43.8432,-79.5644,3
102,829900,2,2,L1R 3M3,Whitby,43.9215,-78.9412,2
103,2199000,5,4,L1R 2A2,Whitby,43.9215,-78.9412,1
104,1449888,5,4,L1R 3P8,Whitby,43.9215,-78.9412,2
105,700000,3,4,L1N 2K6,Whitby,43.8721,-78.9273,2
106,2849000,4,5,M4B 0A2,East York ,43.7063,-79.3094,1
107,849000,5,4,L7M 0H6,Burlington,43.4342,-79.8701,1
108,1290000,7,5,L1K 0S1,Oshawa,43.9251,-78.8287,0
109,2780000,4,3,M2K 1C3,North York ,43.7797,-79.3813,0
110,3399000,5,4,M3B 1P7,Don Mills ,43.745,-79.359,0
111,2180000,7,3,M6G 1C5,Toronto,43.6683,-79.4205,1
112,689900,2,2,L5B 0H7,Mississauga,43.5771,-79.6306,1
113,598000,2,2,L4Y 3H7,Mississauga,43.6028,-79.5929,1
114,799900,3,2,L4Y 3H7,Mississauga,43.6028,-79.5929,3
115,649000,3,2,L6T 5L6,Brampton,43.7196,-79.6854,1
116,419000,1,1,L5N 6R7,Mississauga,43.5924,-79.7611,2
117,599900,3,2,M3J 1V6,North York ,43.7694,-79.4921,1
118,799900,2,3,L7N 3L5,Burlington,43.3512,-79.784,2
120,529900,2,2,M1E 1N9,Scarborough,43.7678,-79.1866,0
121,1150000,3,2,M5V 3Y7,Toronto,43.6404,-79.3995,3
122,1100000,2,2,M5A 3C4,Toronto,43.6555,-79.3626,0
123,690000,2,2,M2N 3Y2,Willowdale,43.7673,-79.4111,2
124,599900,2,1,M2N 0C8,Willowdale,43.7673,-79.4111,0
125,545900,2,1,M2J 1M4,North York ,43.7801,-79.3479,1
126,669000,2,1,M5J 0E1,Toronto,43.623,-79.3936,3
127,886000,3,2,M2N 0C8,Willowdale,43.7673,-79.4111,1
129,2249000,5,4,L6J 5W5,Oakville,43.4757,-79.6591,3
130,1799900,6,4,L6H 2P2,Oakville,43.4881,-79.7098,1
133,1699000,7,4,L4S 1C6,Richmond Hill ,43.8985,-79.4143,3
134,1399900,8,4,M1W 1H8,Scarborough,43.8016,-79.3216,0
135,3498000,5,6,M2N 6K9,Willowdale,43.7673,-79.4111,2
136,1388000,6,3,M2J 2W6,North York ,43.7801,-79.3479,2
137,2490000,5,5,M2L 2V2,North York ,43.7547,-79.3764,3
138,668800,3,2,L5B 3R2,Mississauga,43.5771,-79.6306,2
139,675000,2,1,M8Y 4H5,Etobicoke,43.6325,-79.4939,3
140,649900,1,1,L6H 2R9,Oakville,43.4881,-79.7098,1
141,659000,3,2,M1P 4X4,Scarborough,43.7612,-79.2707,1
142,599990,2,1,M2J 1M4,North York ,43.7801,-79.3479,3
143,749000,2,2,M5G 1P7,Toronto,43.6564,-79.386,1
145,699000,3,2,L2M 7Y2,St. Catharines ,43.196,-79.2161,3
146,1099999,4,6,N4T 1R8,Woodstock,43.1485,-80.7319,2
148,1399900,3,3,N1G 4M4,Guelph,43.5184,-80.2257,2
149,929900,7,3,K2C 0H5,Ottawa,45.3679,-75.7381,2
150,599900,2,1,L2M 3A9,St. Catharines ,43.196,-79.2161,2
151,1399000,5,4,N2T 2C6,Waterloo,43.453,-80.5692,2
153,1190000,4,4,L9V 3M7,Orangeville,43.9597,-80.1079,3
154,2399913,4,4,L6X 0X5,Brampton,43.6665,-79.8054,3
155,3490000,4,4,L6L 1Y9,Oakville,43.4032,-79.7186,0
157,1699000,6,4,L6R 0M5,Brampton,43.7592,-79.7605,1
158,1699000,8,5,L6S 4J8,Brampton,43.7379,-79.726,1
160,1389900,5,4,L4Z 3C3,Mississauga,43.6192,-79.6538,1
161,999000,4,4,L6S 3E3,Brampton,43.7379,-79.726,0
166,1299000,6,4,L4H 0X9,Woodbridge,43.8432,-79.5644,2
