history_ID,City,Year,Month,Sold,List_price_avg,Sold_price_avg,above_below _percentage,monthly_change,monthly_change_percentage,days_on_mar
0,barrie,2021,December,172,627425,700812,0.1169,23633,0.0348,7
1,barrie,2021,November,216,607062,677179,0.1155,39617,0.0621,8
2,barrie,2021,October,261,597809,637562,0.0664,5837,0.0092,8
3,barrie,2021,September,270,593675,631725,0.064,21725,0.0356,10
4,barrie,2021,August,224,577925,610000,0.0555,4375,0.0072,12
5,barrie,2021,July,267,577412,605625,0.0488,11125,0.0187,10
6,barrie,2021,June,316,568836,594500,0.0451,1138,0.0019,7
7,barrie,2021,May,411,562587,593362,0.0547,8750,0.0149,8
8,barrie,2021,April,420,548162,584612,0.0664,10862,0.0189,8
9,barrie,2021,March,554,522312,573750,0.0984,3525,0.0061,7
10,barrie,2021,February,391,515724,570225,0.1056,11288,0.0201,6
11,barrie,2021,January,182,517312,558937,0.0804,34562,0.0659,13
12,barrie,2020,December,194,500423,524375,0.0478,21625,0.043,11
13,barrie,2020,November,278,485925,502750,0.0346,21213,0.044,14
14,barrie,2020,October,333,473562,481537,0.0168,5300,0.0111,14
15,barrie,2020,September,323,470687,476237,0.0117,-138,-0.0002,15
16,barrie,2020,August,329,468450,476375,0.0169,20750,0.0455,13
17,barrie,2020,July,395,452299,455625,0.0073,2525,0.0055,13
18,barrie,2020,June,321,451687,453100,0.0031,26113,0.0611,14
19,barrie,2020,May,198,430675,426987,-0.0085,-14388,-0.0325,23
20,barrie,2020,April,95,449537,441375,-0.0181,4000,0.0091,18
21,barrie,2020,March,235,441562,437375,-0.0094,5025,0.0116,12
22,barrie,2020,February,230,435649,432350,-0.0075,-11025,-0.0248,13
23,barrie,2020,January,139,449875,443375,-0.0144,34513,0.0844,24
24,barrie,2019,December,118,411162,408862,-0.0055,14187,0.0359,21
25,barrie,2019,November,180,400837,394675,-0.0153,-17950,-0.0435,30
26,barrie,2019,October,233,420975,412625,-0.0198,-6600,-0.0157,21
27,barrie,2019,September,202,427812,419225,-0.02,8378,0.0203,21
28,barrie,2019,August,200,421212,410847,-0.0246,1182,0.0028,25
29,barrie,2019,July,212,419762,409665,-0.024,11165,0.028,20
30,barrie,2019,June,203,407150,398500,-0.0212,1875,0.0047,18
31,barrie,2019,May,249,405134,396625,-0.021,-24162,-0.0574,22
32,barrie,2019,April,206,425812,420787,-0.0118,19162,0.0477,19
33,barrie,2019,March,182,407350,401625,-0.014,21278,0.0559,19
34,barrie,2019,February,114,386547,380347,-0.016,-15715,-0.0396,19
35,barrie,2019,January,95,402175,396062,-0.0151,6312,0.0161,30
36,barrie,2018,December,96,400250,389750,-0.0262,15625,0.0417,29
37,barrie,2018,November,160,382050,374125,-0.0207,5500,0.0149,33
38,barrie,2018,October,187,379825,368625,-0.0294,-7750,-0.0205,29
39,barrie,2018,September,168,385025,376375,-0.0224,-3625,-0.0095,32
