,Address,Price,Beds,Baths,Location,All_Text
0,2323 Confederation Pkwy 1102,"$430,000 CAD",2 beds,2 baths,"

Mississauga
Cooksville
Confederation Pkwy


(  )
- BTC

","

2323 Confederation Pkwy 1102
$430,000 CAD
2 baths
2 beds



Mississauga
Cooksville
Confederation Pkwy


(  )
- BTC


Beautiful Bright And Spacious Condo Unit 2 Bedrooms And 2 Bathrooms With 1190 Sqft.. Perfect Location Close To School, Square One Mall . It Offers An Modern Kitchen With Upgraded Countertop, Undermount Sink , Stone Backsplash And Porcelain Tile Floor, Laminate Flooring...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
1,816 Lansdowne Ave 411,"$598,000 CAD",1+1 beds,1 baths,"

Toronto
Dovercourt-Wallace Emerson-Junction
Lansdowne Ave


(  )
- BTC

","

816 Lansdowne Ave 411
$598,000 CAD
1 baths
1+1 beds



Toronto
Dovercourt-Wallace Emerson-Junction
Lansdowne Ave


(  )
- BTC


Large Renovated One Bedroom+Den 646 Sf! Great Functional Open Layout! Balcony South View,Large Den For Work At Home Area! Modern Finishes/Decor,En-Suite Laundry. Open Concept Kitchen W/Granite Counter Tops,S/S Appliances. Great Building Amenities:Gym,Sauna..Steps To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2,710 Rosebank Rd,"$899,900 CAD",0 beds,0 baths,"

Pickering
West Shore
Rosebank Rd


(  )
- BTC

","

710 Rosebank Rd
$899,900 CAD
0 baths
0 beds



Pickering
West Shore
Rosebank Rd


(  )
- BTC


Incredible Opportunity To Build Your Dream Home On 3.03 Acre Lot In Sought After Pickering West Shore. Very Tranquil & Private Surrounded By Wooded Area & Petticoat Creek Running Through The Lot. Located Just Steps Away From Public Transit, Parks & Schools. Just...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
3,219 Major Mackenzie Dr,"$5,999,999 CAD",0 beds,0 baths,"

Richmond Hill
Harding
Major Mackenzie Dr


(  )
- BTC

","

219 Major Mackenzie Dr
$5,999,999 CAD
0 baths
0 beds



Richmond Hill
Harding
Major Mackenzie Dr


(  )
- BTC


Attention Builders/Developers & Investors! An Incredible Opportunity To Own This 103 X 133 Ft Lot. Highly Accessible, Close To Yonge Street, Shops, Transit + Walk To The Richmond Hill Go Station. Easy Access To Hwy 404. Being Sold Under Power Of Sale As-Is. Buyer To Do...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
4,123 Woodbine Ave 315,"$489,999 CAD",0 beds,1 baths,"


The Beaches
Woodbine Ave


(  )
- BTC

","

123 Woodbine Ave 315
$489,999 CAD
1 baths
0 beds




The Beaches
Woodbine Ave


(  )
- BTC


Steps From The Beach With Parking And Storage Included - This Is A Unique Opportunity To Own In The Beaches. Use As A Pied-A-Terre, Cozy Studio Or Tiny Home And Find Your Quite Retreat At The Beach While It Lasts. All The Amenities You Need Including Laundry, Storage...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
5,535 Vaughan Rd,"$1,026,000 CAD",0 beds,0 baths,"


Oakwood-Vaughan
Vaughan Rd


(  )
- BTC

","

535 Vaughan Rd
$1,026,000 CAD
0 baths
0 beds




Oakwood-Vaughan
Vaughan Rd


(  )
- BTC


Developers, Builders, Investors! Incredible Opportunity To Own Land In Developing Area. Zoned For Duplex Or Build Single-Fam/Semi's. Buy & Hold For Future Development. Build Duplex & Invest 4.8% Cap. Pot Inc 90K Exp 12K. No House To Demolish. Short Walk To Eglinton W...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
6,109 Lake St,"$750,000 CAD",4 beds,2 baths,"

St. Catharines


(  )
- BTC

","

109 Lake St
$750,000 CAD
2 baths
4 beds



St. Catharines


(  )
- BTC


Investors!! Maintenance-Free Solid 4 Plex-Fully Renovated * 1 Commercial Storefront * 1 X 2 Bedroom Unit & 2X 1 Bdrm Units * Gross Annual Income $67,800,Amazing Cash Flow Downtown Area * New Vinyl Waterproof Flooring * All S/Steel Appliances With Extended 3 Years...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
7,321 Queenston Rd,"$1,899,000 CAD",4 beds,4 baths,"

Niagara-on-the-Lake


(  )
- BTC

","

321 Queenston Rd
$1,899,000 CAD
4 baths
4 beds



Niagara-on-the-Lake


(  )
- BTC


Welcome To 321 Queenston Rd, Overlooking Vineyards And Local Golf Courses. Smart Home - Control Lights, Thermostat, Garage, Solar Powered Security Cameras And Hot Tub All From Your Phone. Features 3 Master Bedrooms Plus One Bedroom On The Second Floor. Roughed-In...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
8,650 Upper Sherman Ave,"$899,000 CAD",3+1 beds,2 baths,"

Hamilton
Burkholme
Upper Sherman Ave


(  )
- BTC

","

650 Upper Sherman Ave
$899,000 CAD
2 baths
3+1 beds



Hamilton
Burkholme
Upper Sherman Ave


(  )
- BTC


Absolutely Fantastic Opportunity !!! Detach House With 60 By 100 Feet Lot !!! Close To Juravinski Hospital And Macassa Nursing Home!!!  Live In The City And Enjoy Beautiful Landscape In A Huge Lot With A Porch >>> Separate Entrance, 3+1 Bedrooms Plus Two Den, Two...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
9,2419 Postmaster Dr,"$1,129,900 CAD",3+1 beds,4 baths,"

Oakville
West Oak Trails
Postmaster Dr


(  )
- BTC

","

2419 Postmaster Dr
$1,129,900 CAD
4 baths
3+1 beds



Oakville
West Oak Trails
Postmaster Dr


(  )
- BTC


Stunning 3+1 Bed, 4 Bath End Unit Townhome In Desirable West Oak Trails. 2,000+ Sq Ft Of Functional Living Space W/ Upstairs Office. 1 Garage + 2 Add'l Parking. Surrounded By Trails, Parks & Walking Distance To Schools & Hospital. Prof Finished Basement W/ 3Pc Bath...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
10,3 Waterwide Cres,"$1,699,913 CAD",4+2 beds,4 baths,"

Brampton
Credit Valley
Waterwide Cres


(  )
- BTC

","

3 Waterwide Cres
$1,699,913 CAD
4 baths
4+2 beds



Brampton
Credit Valley
Waterwide Cres


(  )
- BTC


Top 5 Reasons To Love This House 1) Luxurious Detach 4 +2 Bedroom  & Finished Basement Apartment In The Prestigious Credit Valley Area (2) Deep 135 Ft  Lot With Salt Water Pool At Back & Rare To Find In Whole Credit Valley Such Deep  Lot Also Client Spent Around...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
11,75 Emms Dr,"$1,268,000 CAD",4+1 beds,4 baths,"

Barrie
Holly
Emms Dr


(  )
- BTC

","

75 Emms Dr
$1,268,000 CAD
4 baths
4+1 beds



Barrie
Holly
Emms Dr


(  )
- BTC


Stunning Home Located In One Of Barrie's Hottest Street! 4+1 Bedrooms With W/O Basement; Large Ravine Lot 59.08 X 138.47 Feet Backing On To Ardagh Bluffs; New Engineering Hardwood Floor; New Lights, New Renovated Kitchen, New Paint, Roof (2014), Large Kitchen Open...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
12,198 Bathurst Glen Dr,"$1,899,000 CAD",4+1 beds,5 baths,"

Vaughan
Patterson
Bathurst Glen Dr


(  )
- BTC

","

198 Bathurst Glen Dr
$1,899,000 CAD
5 baths
4+1 beds



Vaughan
Patterson
Bathurst Glen Dr


(  )
- BTC


What A View, What A Life Style! Stunning Executive Home@One Of The Best Streets In Thornhill Woods!High Demand Layout* Approx 3,600 Sq/Ft+Professionally Fin Basement.Spending Over 150K Renovated. Smart Control And Energy Saving Home.Upgrades 6""High Quality Engineering...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
13,37 Mazarine Lane,"$1,188,000 CAD",3 beds,3 baths,"


Westbrook
Mazarine Lane


(  )
- BTC

","

37 Mazarine Lane
$1,188,000 CAD
3 baths
3 beds




Westbrook
Mazarine Lane


(  )
- BTC


Amazing 3 Bedroom Townhouse With Luxurious Stone Front, Double French Door. 1900Sqft As Per Floor Plan. Newer Renovation. Hardwood Floor & Modern Light Fixtures, Fresh Paint. Upgraded Kitchen Features Granite Counter, Stainless Steel Appliances, Backsplash & Breakfast...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
