,Address,Price,Beds,Baths
0,2323 Confederation Pkwy 1102,"$430,000 CAD",2 beds,2 baths
1,816 Lansdowne Ave 411,"$598,000 CAD",1+1 beds,1 baths
2,3878 Highway 35,"$529,900 CAD",4+2 beds,3 baths
3,710 Rosebank Rd,"$899,900 CAD",0 beds,0 baths
4,219 Major Mackenzie Dr,"$5,999,999 CAD",0 beds,0 baths
5,123 Woodbine Ave 315,"$489,999 CAD",0 beds,1 baths
6,535 Vaughan Rd,"$1,026,000 CAD",0 beds,0 baths
7,288 Schooley Rd,"$698,888 CAD",3 beds,2 baths
8,440 Bonny Meadow Rd,"$2,249,000 CAD",4+1 beds,4 baths
9,2096 Mayflower Blvd,"$1,799,900 CAD",4+2 beds,4 baths
10,89 Walkem Dr,"$1,099,900 CAD",3+1 beds,3 baths
11,80 Sprucewood Dr,"$3,488,000 CAD",4+3 beds,4 baths
12,27 Tamara Dr,"$1,699,000 CAD",5+2 beds,4 baths
13,31 Sesame St,"$1,399,900 CAD",4+4 beds,4 baths
14,31 Sesame St,"$1,399,900 CAD",4+4 beds,4 baths
15,2208 Chevron Prince Path Path,"$799,900 CAD",4 beds,3 baths
16,102 Harlandale Ave,"$3,498,000 CAD",4+1 beds,6 baths
17,17 Baroness Cres,"$1,388,000 CAD",3+3 beds,3 baths
18,19 Bobwhite Cres,"$2,490,000 CAD",5 beds,5 baths
19,400 Webb Dr 1107,"$668,800 CAD",2+1 beds,2 baths
20,251 Manitoba St 623,"$675,000 CAD",1+1 beds,1 baths
21,1230 Marlborough Crt 709,"$649,900 CAD",1 beds,1 baths
22,190 Borough Dr 710,"$659,000 CAD",2+1 beds,2 baths
23,70 Forest Manor Rd 1701,"$599,990 CAD",1+1 beds,1 baths
24,111 Elizabeth St 1802,"$749,000 CAD",1+1 beds,2 baths
25,70 Temperance St 3704,"$499,000 CAD",0 beds,1 baths
26,44 Firelane 11A Rd,"$1,680,000 CAD",3 beds,2 baths
27,35 Jessica Dr,"$699,000 CAD",3 beds,2 baths
28,1112 Edinburgh Dr,"$1,099,999 CAD",4 beds,6 baths
29,3619 Campden Rd,"$1,299,000 CAD",3 beds,2 baths
30,28 Hands Dr,"$1,399,900 CAD",3 beds,3 baths
31,181 Sanford Ave,"$929,900 CAD",5+2 beds,3 baths
32,57 Brucedale Ave,"$599,900 CAD",2 beds,1 baths
33,304 Amberwood Dr,"$1,399,000 CAD",4+1 beds,4 baths
34,184 Wills Cres,"$1,199,000 CAD",4 beds,3 baths
35,602 Hammond St,"$1,190,000 CAD",4 beds,4 baths
36,116 Elbern Markell Dr,"$2,399,913 CAD",4 beds,4 baths
37,145 Wolfdale Ave,"$3,400,000 CAD",4 beds,4 baths
38,403 Van Kirk Dr,"$1,799,900 CAD",4+1 beds,4 baths
39,66 Treeline Blvd,"$1,699,000 CAD",4+2 beds,3 baths
40,35 Stonemount Tr,"$1,799,900 CAD",4+2 beds,5 baths
41,48 Newbury Cres,"$1,699,000 CAD",5+3 beds,5 baths
42,35 Harriet St,"$1,049,900 CAD",3 beds,3 baths
43,49 Geranium Cres,"$1,599,999 CAD",5+1 beds,6 baths
